Municipality Name,Email,Password,Status
"Pimpri Chinchwad Municipal Corporation","lemma_pune@gmail.com","lemma@123","Created"
"Tambaram Corporation","lemma_chengalpattu@gmail.com","lemma@123","Created"
"Dewas Municipal Corporation","lemma_dewas@gmail.com","lemma@123","Created"
"Dharwad City Corporation","lemma_dharwad@gmail.com","lemma@123","Created"
"Amravati Municipal Corporation","lemma_amravati@gmail.com","lemma@123","Created"
"Darbhanga Municipal Corporation","lemma_darbhanga@gmail.com","lemma@123","Created"
"Kanpur Municipal Corporation","lemma_kanpur_nagar@gmail.com","lemma@123","Created"
"Greater Warangal Municipal Corporation","lemma_warangal@gmail.com","lemma@123","Created"
"Jhansi Municipal Corporation","lemma_jhansi@gmail.com","lemma@123","Created"
"Gurugram Municipal Corporation","lemma_gurugram@gmail.com","lemma@123","Created"
"Bengaluru North City Corporation","lemma_bangalore_urban@gmail.com","lemma@123","Created"
"Burhanpur Municipal Corporation","lemma_burhanpur@gmail.com","lemma@123","Created"
"Pithoragarh Municipal Corporation","lemma_pithoragarh@gmail.com","lemma@123","Created"
"Mangalagiri Tadepalli Municipal Corporation","lemma_guntur@gmail.com","lemma@123","Created"
"Muzaffarpur Municipal Corporation","lemma_muzaffarpur@gmail.com","lemma@123","Created"
"Lucknow Municipal Corporation","lemma_lucknow@gmail.com","lemma@123","Created"
"Tiruchirappalli City Municipal Corporation","lemma_tiruchirappalli@gmail.com","lemma@123","Created"
"Mancherial Municipal Corporation","lemma_mancherial@gmail.com","lemma@123","Created"
"Dhule Municipal Corporation","lemma_dhule@gmail.com","lemma@123","Created"
"Arrah Municipal Corporation","lemma_bhojpur@gmail.com","lemma@123","Created"
"Moga Municipal Corporation","lemma_moga@gmail.com","lemma@123","Created"
"Kurnool Municipal Corporation","lemma_kurnool@gmail.com","lemma@123","Created"
"Tirupati Municipal Corporation","lemma_tirupati@gmail.com","lemma@123","Created"
"Kochi Municipal Corporation","lemma_ernakulam@gmail.com","lemma@123","Created"
"Kota Municipal Corporation","lemma_kota@gmail.com","lemma@123","Created"
"Bathinda Municipal Corporation","lemma_bathinda@gmail.com","lemma@123","Created"
"Greater Chennai Corporation","lemma_chennai@gmail.com","lemma@123","Created"
"Mysuru City Corporation","lemma_mysuru@gmail.com","lemma@123","Created"
"Tirunelveli Municipal Corporation","lemma_tirunelveli@gmail.com","lemma@123","Created"
"Chhatrapati Sambhajinagar Municipal Corporation","lemma_aurangabad@gmail.com","lemma@123","Created"
"Bengaluru South City Corporation","lemma_bangalore_urban_bengaluru_south@gmail.com","lemma@123","Created"
"Durgapur Municipal Corporation","lemma_paschim_bardhaman@gmail.com","lemma@123","Created"
"Chirmiri Municipal Corporation","lemma_koriya@gmail.com","lemma@123","Created"
"Shahjahanpur Municipal Corporation","lemma_shahjahanpur@gmail.com","lemma@123","Created"
"Karur Municipal Corporation","lemma_karur@gmail.com","lemma@123","Created"
"Kakinada Municipal Corporation","lemma_kakinada@gmail.com","lemma@123","Created"
"Dindigul Municipal Corporation","lemma_dindigul@gmail.com","lemma@123","Created"
"Vadodara Municipal Corporation","lemma_vadodara@gmail.com","lemma@123","Created"
"Nagercoil Municipal Corporation","lemma_kanyakumari@gmail.com","lemma@123","Created"
"Jalandhar Municipal Corporation","lemma_jalandhar@gmail.com","lemma@123","Created"
"Guwahati Municipal Corporation","lemma_kamrup_metropolitan@gmail.com","lemma@123","Created"
"Bikaner Municipal Corporation","lemma_bikaner@gmail.com","lemma@123","Created"
"Bhilwara Municipal Corporation","lemma_bhilwara@gmail.com","lemma@123","Created"
"Satna Municipal Corporation","lemma_satna@gmail.com","lemma@123","Created"
"Puri Municipal Corporation","lemma_puri@gmail.com","lemma@123","Created"
"Shivamogga City Corporation","lemma_shivamogga@gmail.com","lemma@123","Created"
"Khammam Municipal Corporation","lemma_khammam@gmail.com","lemma@123","Created"
"Dehradun Municipal Corporation","lemma_dehradun@gmail.com","lemma@123","Created"
"Siliguri Municipal Corporation","lemma_darjeeling@gmail.com","lemma@123","Created"
"Yamunanagar Municipal Corporation","lemma_yamunanagar@gmail.com","lemma@123","Created"
"Gorakhpur Municipal Corporation","lemma_gorakhpur@gmail.com","lemma@123","Created"
"Bengaluru East City Corporation","lemma_bangalore_urban_bengaluru_east@gmail.com","lemma@123","Created"
"Raigarh Municipal Corporation","lemma_raigarh@gmail.com","lemma@123","Created"
"Roorkee Municipal Corporation","lemma_haridwar@gmail.com","lemma@123","Created"
"Bhiwandi-Nizampur Municipal Corporation","lemma_thane@gmail.com","lemma@123","Created"
"Sagar Municipal Corporation","lemma_sagar@gmail.com","lemma@123","Created"
"Thanjavur Municipal Corporation","lemma_thanjavur@gmail.com","lemma@123","Created"
"Ranchi Municipal Corporation","lemma_ranchi@gmail.com","lemma@123","Created"
"Solapur Municipal Corporation","lemma_solapur@gmail.com","lemma@123","Created"
"Meerut Municipal Corporation","lemma_meerut@gmail.com","lemma@123","Created"
"Tiruppur City Municipal Corporation","lemma_tiruppur@gmail.com","lemma@123","Created"
"Ramagundam Municipal Corporation","lemma_peddapalli@gmail.com","lemma@123","Created"
"Faridabad Municipal Corporation","lemma_faridabad@gmail.com","lemma@123","Created"
"Ambala Municipal Corporation","lemma_ambala@gmail.com","lemma@123","Created"
"Sangli-Miraj-Kupwad Municipal Corporation","lemma_sangli@gmail.com","lemma@123","Created"
"Vijayapura City Corporation","lemma_vijayapura@gmail.com","lemma@123","Created"
"Machilipatnam Municipal Corporation","lemma_krishna@gmail.com","lemma@123","Created"
"Ichalkaranji Municipal Corporation","lemma_kolhapur@gmail.com","lemma@123","Created"
"Ahmedabad Municipal Corporation","lemma_ahmedabad@gmail.com","lemma@123","Created"
"Birgaon Municipal Corporation","lemma_raipur@gmail.com","lemma@123","Created"
"Cuddalore Municipal Corporation","lemma_cuddalore@gmail.com","lemma@123","Created"
"Mehsana Municipal Corporation","lemma_mehsana@gmail.com","lemma@123","Created"
"Sonipat Municipal Corporation","lemma_sonipat@gmail.com","lemma@123","Created"
"Bhopal Municipal Corporation","lemma_bhopal@gmail.com","lemma@123","Created"
"Gandhidham Municipal Corporation","lemma_kutch@gmail.com","lemma@123","Created"
"Udaipur Municipal Corporation","lemma_udaipur@gmail.com","lemma@123","Created"
"Bareilly Municipal Corporation","lemma_bareilly@gmail.com","lemma@123","Created"
"Aizawl Municipal Corporation","lemma_aizawl@gmail.com","lemma@123","Created"
"Pune Municipal Corporation","lemma_pune_pune@gmail.com","lemma@123","Created"
"Batala Municipal Corporation","lemma_gurdaspur@gmail.com","lemma@123","Created"
"Haldwani Municipal Corporation","lemma_nainital@gmail.com","lemma@123","Created"
"Ulhasnagar Municipal Corporation","lemma_thane_ulhasnagar@gmail.com","lemma@123","Created"
"Mangaluru City Corporation","lemma_dakshina_kannada@gmail.com","lemma@123","Created"
"Nagpur Municipal Corporation","lemma_nagpur@gmail.com","lemma@123","Created"
"Abohar Municipal Corporation","lemma_fazilka@gmail.com","lemma@123","Created"
"Panvel Municipal Corporation","lemma_raigad@gmail.com","lemma@123","Created"
"Salem City Municipal Corporation","lemma_salem@gmail.com","lemma@123","Created"
"Ujjain Municipal Corporation","lemma_ujjain@gmail.com","lemma@123","Created"
"Ongole Municipal Corporation","lemma_prakasam@gmail.com","lemma@123","Created"
"Karaikudi Municipal Corporation","lemma_sivaganga@gmail.com","lemma@123","Created"
"Dibrugarh Municipal Corporation","lemma_dibrugarh@gmail.com","lemma@123","Created"
"Gaya Municipal Corporation","lemma_gaya@gmail.com","lemma@123","Created"
"Sitamarhi Municipal Corporation","lemma_sitamarhi@gmail.com","lemma@123","Created"
"Karimnagar Municipal Corporation","lemma_karimnagar@gmail.com","lemma@123","Created"
"Kozhikode Municipal Corporation","lemma_kozhikode@gmail.com","lemma@123","Created"
"Vijayawada Municipal Corporation","lemma_ntr@gmail.com","lemma@123","Created"
"Ajmer Municipal Corporation","lemma_ajmer@gmail.com","lemma@123","Created"
"Thrissur Municipal Corporation","lemma_thrissur@gmail.com","lemma@123","Created"
"Dharamshala Municipal Corporation","lemma_kangra@gmail.com","lemma@123","Created"
"Patiala Municipal Corporation","lemma_patiala@gmail.com","lemma@123","Created"
"Singrauli Municipal Corporation","lemma_singrauli@gmail.com","lemma@123","Created"
"Davanagere City Corporation","lemma_davanagere@gmail.com","lemma@123","Created"
"Madhubani Municipal Corporation","lemma_madhubani@gmail.com","lemma@123","Created"
"Medininagar Municipal Corporation","lemma_palamu@gmail.com","lemma@123","Created"
"Municipal Corporation of Delhi","lemma_delhi@gmail.com","lemma@123","Created"
"Junagadh Municipal Corporation","lemma_junagadh@gmail.com","lemma@123","Created"
"Hosur Municipal Corporation","lemma_krishnagiri@gmail.com","lemma@123","Created"
"Pathankot Municipal Corporation","lemma_pathankot@gmail.com","lemma@123","Created"
"Ballari City Corporation","lemma_ballari@gmail.com","lemma@123","Created"
"Varanasi Municipal Corporation","lemma_varanasi@gmail.com","lemma@123","Created"
"Hazaribagh Municipal Corporation","lemma_hazaribagh@gmail.com","lemma@123","Created"
"Amritsar Municipal Corporation","lemma_amritsar@gmail.com","lemma@123","Created"
"Akola Municipal Corporation","lemma_akola@gmail.com","lemma@123","Created"
"Greater Hyderabad Municipal Corporation","lemma_hyderabad@gmail.com","lemma@123","Created"
"Chhindwara Municipal Corporation","lemma_chhindwara@gmail.com","lemma@123","Created"
